fold,sample_index,tissue_label,class_id,split
2,2371,Testis,16,test
1,2539,Thyroid,17,train
1,930,Breast,3,train
2,957,Skin,14,train
3,120,Breast,3,train
1,143,Breast,3,train
2,1419,Bile-duct,1,val
3,1364,Colon,5,train
2,2127,Ovarian,11,train
1,1239,Esophagus,6,val
3,1716,Colon,5,train
1,2481,Stomach,15,test
1,2639,Colon,5,train
2,504,Breast,3,train
2,1951,HeadNeck,7,test
3,1117,Adrenal_gland,0,train
3,1977,Esophagus,6,train
3,867,Prostate,13,val
1,905,Breast,3,train
3,2453,Stomach,15,train
2,174,Breast,3,train
3,2370,Prostate,13,train
3,1014,Thyroid,17,val
2,2151,Ovarian,11,test
2,1834,Esophagus,6,train
3,556,Breast,3,train
3,989,Uterus,18,test
2,1144,Pancreatic,12,val
3,248,Breast,3,train
2,122,Breast,3,train
2,1734,Colon,5,train
1,763,Colon,5,train
3,612,Breast,3,train
3,381,Breast,3,train
1,1430,Testis,16,train
2,1949,HeadNeck,7,test
2,1455,Bladder,2,val
1,1298,Pancreatic,12,train
2,352,Breast,3,train
3,26,Breast,3,train
3,2342,Prostate,13,test
3,2146,Kidney,8,test
3,420,Breast,3,train
3,2668,Colon,5,train
1,309,Breast,3,train
3,1391,Colon,5,train
3,1876,Colon,5,train
3,1628,Breast,3,train
3,1263,Bile-duct,1,train
2,1172,Cervix,4,train
1,472,Breast,3,train
1,1778,Cervix,4,train
1,227,Breast,3,train
3,1857,Colon,5,train
3,2436,Stomach,15,train
1,1152,Cervix,4,train
2,923,Lung,10,test
1,1804,Cervix,4,train
1,1320,Cervix,4,train
2,469,Breast,3,train
2,916,Lung,10,train
3,1182,Esophagus,6,train
3,2714,Colon,5,train
3,469,Breast,3,train
3,1670,Cervix,4,train
1,879,Lung,10,train
1,388,Breast,3,train
3,1335,Bile-duct,1,train
2,2261,Skin,14,train
2,729,Colon,5,train
3,1170,Esophagus,6,test
2,1458,Bladder,2,train
3,2712,Colon,5,train
3,1744,Colon,5,train
3,482,Breast,3,train
3,2397,Skin,14,train
2,851,Colon,5,train
2,200,Breast,3,train
2,1083,Esophagus,6,train
1,948,Prostate,13,train
3,2514,Thyroid,17,test
1,1871,Colon,5,train
2,2517,Colon,5,train
3,2409,Skin,14,test
2,1965,HeadNeck,7,train
1,2374,Prostate,13,train
1,53,Breast,3,train
2,1995,HeadNeck,7,train
1,1491,Colon,5,train
2,2142,Ovarian,11,val
2,43,Breast,3,train
3,1417,Adrenal_gland,0,val
1,2142,HeadNeck,7,train
3,1012,Thyroid,17,test
3,788,Colon,5,train
2,1551,Breast,3,train
2,1832,Esophagus,6,train
2,952,Skin,14,val
3,2245,Liver,9,train
3,58,Breast,3,train
1,1346,Cervix,4,test
1,200,Breast,3,train
1,1678,Bladder,2,val
2,244,Breast,3,train
1,529,Breast,3,train
3,2097,HeadNeck,7,train
2,1948,HeadNeck,7,train
3,2529,Uterus,18,train
2,1038,Adrenal_gland,0,train
3,820,Lung,10,val
2,1559,Cervix,4,train
2,1538,Breast,3,train
2,1794,Colon,5,train
3,1826,Colon,5,train
3,2383,Skin,14,test
1,615,Breast,3,train
2,2460,Colon,5,train
3,1247,Cervix,4,val
2,595,Breast,3,train
1,2548,Thyroid,17,val
3,2145,Kidney,8,val
1,1287,Pancreatic,12,train
1,2303,Ovarian,11,train
1,736,Breast,3,train
1,1766,Cervix,4,train
3,45,Breast,3,train
3,219,Breast,3,train
1,1290,Pancreatic,12,test
2,1472,Bladder,2,test
1,1569,Adrenal_gland,0,train
2,2010,HeadNeck,7,test
2,2420,Thyroid,17,train
2,1941,HeadNeck,7,test
1,1162,Cervix,4,train
3,2060,HeadNeck,7,train
1,1330,Cervix,4,train
2,667,Breast,3,train
2,712,Colon,5,train
3,1026,Cervix,4,train
2,1243,Testis,16,test
2,2474,Colon,5,train
3,1705,Colon,5,train
3,1557,Bladder,2,val
1,2029,Colon,5,train
2,1408,Bile-duct,1,train
2,1074,Adrenal_gland,0,train
2,1112,Adrenal_gland,0,train
3,2270,Ovarian,11,val
3,812,Colon,5,train
3,1694,Cervix,4,train
2,1046,Adrenal_gland,0,train
3,742,Colon,5,val
1,564,Breast,3,test
2,676,Breast,3,train
2,1966,HeadNeck,7,train
3,421,Breast,3,train
3,823,Lung,10,train
2,433,Breast,3,train
2,15,Breast,3,train
1,2163,HeadNeck,7,train
3,1200,Adrenal_gland,0,train
2,1487,Bladder,2,test
2,989,Thyroid,17,val
3,1540,Bile-duct,1,train
3,1136,Adrenal_gland,0,train
1,95,Breast,3,train
3,587,Breast,3,train
2,1141,Pancreatic,12,val
3,907,Esophagus,6,train
3,138,Breast,3,train
3,1036,Thyroid,17,train
1,700,Breast,3,train
3,1033,Thyroid,17,test
3,347,Breast,3,train
2,756,Colon,5,train
2,1578,Colon,5,train
2,907,Lung,10,val
3,2353,Prostate,13,test
2,528,Breast,3,train
1,1374,Bile-duct,1,test
2,2306,Skin,14,test
2,2287,Skin,14,train
3,826,Lung,10,train
1,31,Breast,3,train
1,1214,Adrenal_gland,0,train
2,1673,Colon,5,train
2,1180,Cervix,4,train
3,2657,Colon,5,train
1,803,Colon,5,train
1,925,Breast,3,train
1,2505,Stomach,15,train
1,2356,Pancreatic,12,train
1,228,Breast,3,train
1,285,Breast,3,train
2,2063,Liver,9,test
2,1017,Esophagus,6,train
2,1672,Colon,5,train
1,1016,Esophagus,6,train
1,329,Breast,3,train
2,557,Breast,3,train
3,1606,Bladder,2,train
2,1190,Cervix,4,train
3,1235,Cervix,4,test
3,619,Breast,3,train
3,679,Breast,3,train
3,1120,Adrenal_gland,0,train
2,2087,Liver,9,train
1,1103,Thyroid,17,test
3,92,Breast,3,train
1,735,Breast,3,train
3,721,Colon,5,train
1,1907,Colon,5,train
1,994,Esophagus,6,train
3,1270,Bile-duct,1,train
3,1672,Cervix,4,val
1,1012,Esophagus,6,train
3,2148,Kidney,8,train
2,1097,Esophagus,6,train
3,1007,Uterus,18,test
1,2032,Colon,5,val
1,1396,Bile-duct,1,train
3,14,Breast,3,train
3,2552,Uterus,18,val
2,127,Breast,3,train
2,2126,Ovarian,11,train
2,597,Breast,3,train
1,2115,HeadNeck,7,train
1,2538,Thyroid,17,train
1,830,Colon,5,train
2,297,Breast,3,train
3,1951,Esophagus,6,train
3,2690,Colon,5,train
2,2347,Stomach,15,test
2,2419,Thyroid,17,test
1,855,Colon,5,train
3,852,Bladder,2,train
1,2447,Skin,14,test
1,868,Lung,10,val
1,2112,HeadNeck,7,train
2,1364,Adrenal_gland,0,train
2,562,Breast,3,train
3,955,Lung,10,test
1,1218,Adrenal_gland,0,train
3,2656,Colon,5,train
1,1681,Breast,3,train
3,1582,Bladder,2,test
1,1676,Bladder,2,val
1,1537,Adrenal_gland,0,train
1,2554,Thyroid,17,val
3,362,Breast,3,train
2,2477,Colon,5,train
1,1048,Lung,10,val
1,476,Breast,3,train
3,2449,Stomach,15,train
2,2048,Liver,9,test
3,312,Breast,3,train
3,586,Breast,3,train
1,483,Breast,3,train
1,2195,Liver,9,train
1,2559,Thyroid,17,test
1,544,Breast,3,train
1,2463,Skin,14,train
2,1515,Breast,3,train
3,470,Breast,3,train
3,1643,Breast,3,train
3,1454,Adrenal_gland,0,test
1,2120,HeadNeck,7,train
3,267,Breast,3,train
2,286,Breast,3,train
1,2510,Stomach,15,test
2,1554,Breast,3,train
1,537,Breast,3,train
2,1352,Adrenal_gland,0,train
1,37,Breast,3,train
2,309,Breast,3,train
1,2146,HeadNeck,7,train
2,1143,Pancreatic,12,train
3,1609,Bladder,2,test
3,2416,Stomach,15,train
1,1258,Esophagus,6,train
1,1520,Adrenal_gland,0,train
2,1645,Colon,5,train
3,1790,Colon,5,train
2,242,Breast,3,train
2,178,Breast,3,train
1,1903,Colon,5,train
1,1512,Colon,5,train
2,971,Cervix,4,train
2,2458,Colon,5,train
2,248,Breast,3,train
3,146,Breast,3,train
3,1683,Cervix,4,val
1,954,Kidney,8,train
1,18,Breast,3,train
3,715,Colon,5,train
1,1543,Adrenal_gland,0,train
3,1221,Adrenal_gland,0,val
1,1124,Esophagus,6,train
2,1460,Bladder,2,val
1,187,Breast,3,train
2,2243,Prostate,13,test
3,1692,Cervix,4,val
2,426,Breast,3,train
1,1007,Esophagus,6,train
1,896,Lung,10,test
2,591,Breast,3,train
3,792,Colon,5,train
1,145,Breast,3,train
2,2390,Thyroid,17,val
1,2344,Pancreatic,12,train
2,2107,Liver,9,val
1,766,Colon,5,train
3,2212,Liver,9,train
3,2521,Thyroid,17,test
3,1287,Testis,16,train
3,497,Breast,3,train
2,1438,Bile-duct,1,train
1,2,Breast,3,train
2,1168,Adrenal_gland,0,train
2,2222,Prostate,13,test
2,1273,Bile-duct,1,train
2,666,Breast,3,test
2,1193,Cervix,4,train
1,425,Breast,3,train
3,1183,Esophagus,6,train
1,967,Stomach,15,train
1,2179,Kidney,8,val
2,1374,Adrenal_gland,0,train
1,1283,Pancreatic,12,val
3,2284,Ovarian,11,train
1,2376,Prostate,13,test
1,2468,Stomach,15,test
2,1647,Colon,5,train
3,2144,Kidney,8,test
1,626,Breast,3,train
1,2204,Liver,9,train
1,541,Breast,3,train
1,692,Breast,3,train
2,2110,Lung,10,test
3,224,Breast,3,train
1,444,Breast,3,train
3,1457,Adrenal_gland,0,train
2,618,Breast,3,train
1,1100,Thyroid,17,train
3,1919,Colon,5,train
3,977,Uterus,18,train
3,945,Lung,10,train
3,2362,Prostate,13,val
2,2229,Prostate,13,val
1,1102,Thyroid,17,train
1,1450,Bile-duct,1,train
3,1714,Colon,5,train
3,256,Breast,3,train
1,1169,Cervix,4,test
3,2599,Uterus,18,test
2,2269,Skin,14,train
2,102,Breast,3,train
3,2470,Testis,16,val
3,1046,Esophagus,6,test
2,1250,Testis,16,test
3,1074,Esophagus,6,val
2,136,Breast,3,train
1,1655,Bile-duct,1,train
1,562,Breast,3,train
2,1016,Esophagus,6,train
3,62,Breast,3,train
2,2461,Colon,5,train
3,200,Breast,3,train
1,1631,Bile-duct,1,train
2,713,Colon,5,train
1,2073,Esophagus,6,train
3,1018,Skin,14,val
2,620,Breast,3,train
2,325,Breast,3,train
2,1453,Bladder,2,val
1,60,Breast,3,train
1,2105,HeadNeck,7,train
3,1725,Colon,5,train
1,1652,Bile-duct,1,train
1,1257,Esophagus,6,train
3,1146,Adrenal_gland,0,train
2,1743,Colon,5,train
3,1168,Esophagus,6,train
3,1165,Esophagus,6,train
3,2216,Liver,9,test
2,430,Breast,3,train
2,549,Breast,3,train
3,1827,Colon,5,train
1,501,Breast,3,train
1,2214,Liver,9,train
3,701,Breast,3,train
1,1253,Esophagus,6,train
1,1918,Colon,5,val
1,1634,Bile-duct,1,train
3,2569,Uterus,18,train
2,1393,Adrenal_gland,0,train
3,1217,Adrenal_gland,0,test
2,1118,Adrenal_gland,0,train
2,1274,Bile-duct,1,val
2,1813,Esophagus,6,train
1,175,Breast,3,train
3,1202,Adrenal_gland,0,train
2,1138,Pancreatic,12,test
2,169,Breast,3,train
3,1398,Adrenal_gland,0,train
1,2436,Skin,14,val
2,1902,HeadNeck,7,train
2,234,Breast,3,train
2,1527,Breast,3,train
2,890,Esophagus,6,train
3,1751,Colon,5,train
2,75,Breast,3,val
3,35,Breast,3,train
3,756,Colon,5,train
3,2443,Stomach,15,val
3,909,Esophagus,6,test
2,1674,Colon,5,train
2,336,Breast,3,train
1,720,Breast,3,train
2,2339,Stomach,15,train
3,2140,Kidney,8,train
1,1751,Cervix,4,train
1,1928,Colon,5,train
2,2302,Skin,14,train
1,2527,Testis,16,val
1,1867,Colon,5,train
3,1992,HeadNeck,7,train
1,138,Breast,3,train
3,2471,Testis,16,train
2,869,Esophagus,6,train
3,3,Breast,3,train
3,462,Breast,3,train
3,1655,Breast,3,train
2,1574,Cervix,4,train
1,657,Breast,3,train
3,177,Breast,3,train
1,132,Breast,3,train
3,2669,Colon,5,test
1,2088,Esophagus,6,train
3,477,Breast,3,train
1,1309,Adrenal_gland,0,train
3,605,Breast,3,train
2,1906,HeadNeck,7,train
1,1255,Esophagus,6,train
3,1786,Colon,5,val
1,1321,Cervix,4,test
3,2177,Liver,9,val
3,1369,Colon,5,train
1,445,Breast,3,train
1,1183,Adrenal_gland,0,train
2,2250,Skin,14,val
2,1449,Bile-duct,1,train
1,1384,Bile-duct,1,val
1,77,Breast,3,train
1,1244,Esophagus,6,train
2,1575,Colon,5,train
3,2374,Prostate,13,train
2,431,Breast,3,train
3,1037,Thyroid,17,train
3,846,Kidney,8,train
1,1405,Bile-duct,1,train
1,364,Breast,3,train
3,1302,Testis,16,train
2,835,Kidney,8,train
2,1409,Bile-duct,1,train
3,1087,Cervix,4,train
3,18,Breast,3,train
1,823,Colon,5,train
2,1612,Colon,5,train
1,1915,Colon,5,train
3,1496,Bile-duct,1,train
1,2101,HeadNeck,7,train
2,1763,Colon,5,train
3,2580,Uterus,18,train
3,1793,Colon,5,train
3,1760,Colon,5,train
1,2628,Colon,5,train
3,1608,Bladder,2,train
2,543,Breast,3,train
1,705,Breast,3,train
1,1852,Colon,5,train
1,1920,Colon,5,train
1,750,Colon,5,train
3,1179,Esophagus,6,train
3,430,Breast,3,train
1,2222,Liver,9,val
2,2231,Prostate,13,train
2,2334,Stomach,15,train
3,2313,Pancreatic,12,test
2,944,Thyroid,17,train
3,1823,Colon,5,train
1,1647,Bile-duct,1,train
3,536,Breast,3,train
1,1930,Colon,5,train
1,1277,Adrenal_gland,0,test
3,1111,Adrenal_gland,0,train
1,2352,Pancreatic,12,train
1,1470,Bile-duct,1,train
2,2373,Testis,16,val
2,1482,Bladder,2,test
1,639,Breast,3,train
3,1690,Cervix,4,val
1,1748,Cervix,4,val
1,354,Breast,3,train
2,877,Esophagus,6,train
3,813,Colon,5,train
1,1695,Breast,3,train
2,832,Kidney,8,val
2,1445,Bile-duct,1,train
1,1815,Cervix,4,test
3,2363,Prostate,13,train
2,1280,Bile-duct,1,train
3,1564,Bladder,2,train
2,2510,Colon,5,train
1,1406,Bile-duct,1,test
1,1306,Adrenal_gland,0,train
3,2523,Uterus,18,train
2,374,Breast,3,train
1,2643,Colon,5,train
1,289,Breast,3,train
1,2474,Stomach,15,train
3,1885,Colon,5,train
3,458,Breast,3,train
1,2144,HeadNeck,7,train
3,1896,Colon,5,train
3,894,Stomach,15,val
1,171,Breast,3,train
3,1098,Adrenal_gland,0,train
1,1982,Colon,5,train
1,845,Colon,5,train
3,2063,HeadNeck,7,train
2,364,Breast,3,train
3,2268,Ovarian,11,test
2,285,Breast,3,train
1,149,Breast,3,train
2,2439,Colon,5,train
2,889,Esophagus,6,val
3,642,Breast,3,train
1,1841,Colon,5,train
3,902,Esophagus,6,train
3,192,Breast,3,train
3,1995,HeadNeck,7,train
1,188,Breast,3,train
1,2565,Thyroid,17,test
2,1563,Cervix,4,test
1,1495,Colon,5,test
3,24,Breast,3,train
3,2354,Prostate,13,train
3,1818,Colon,5,train
1,470,Breast,3,train
3,778,Colon,5,train
2,2463,Colon,5,train
3,1737,Colon,5,train
2,1008,Esophagus,6,test
3,1329,Bile-duct,1,train
1,1514,Colon,5,train
2,668,Breast,3,train
2,284,Breast,3,train
2,2489,Colon,5,train
2,670,Breast,3,train
1,1931,Colon,5,train
2,962,Skin,14,train
3,2600,Uterus,18,train
3,2044,HeadNeck,7,train
1,2209,Liver,9,test
2,1610,Colon,5,train
3,2105,HeadNeck,7,train
2,1248,Testis,16,val
2,1919,HeadNeck,7,train
1,160,Breast,3,train
2,660,Breast,3,train
3,319,Breast,3,train
3,705,Breast,3,train
3,394,Breast,3,train
1,72,Breast,3,train
2,1643,Colon,5,train
3,80,Breast,3,train
2,322,Breast,3,train
3,263,Breast,3,train
1,1246,Esophagus,6,train
2,565,Breast,3,train
1,2005,Colon,5,train
1,466,Breast,3,train
3,1900,Colon,5,train
3,377,Breast,3,train
3,2154,Kidney,8,val
1,1155,Cervix,4,val
3,2014,HeadNeck,7,train
2,1282,Bile-duct,1,train
3,2163,Liver,9,val
1,1205,Adrenal_gland,0,train
2,2085,Liver,9,val
1,599,Breast,3,train
3,718,Colon,5,train
3,573,Breast,3,train
1,642,Breast,3,train
3,2371,Prostate,13,train
3,2570,Uterus,18,test
3,2665,Colon,5,train
3,1528,Bile-duct,1,val
3,1001,Uterus,18,val
1,993,Esophagus,6,train
1,223,Breast,3,train
3,1687,Cervix,4,train
1,2013,Colon,5,train
1,457,Breast,3,train
2,1617,Colon,5,val
3,2019,HeadNeck,7,train
2,1923,HeadNeck,7,train
1,2263,Lung,10,test
2,608,Breast,3,train
1,2276,Ovarian,11,train
1,2448,Skin,14,train
2,1435,Bile-duct,1,test
1,1079,Thyroid,17,train
2,2270,Skin,14,train
1,625,Breast,3,train
2,1865,HeadNeck,7,train
2,1880,HeadNeck,7,train
1,2191,Liver,9,train
1,219,Breast,3,train
1,1090,Skin,14,train
1,2200,Liver,9,train
2,2172,Pancreatic,12,train
2,1306,Colon,5,train
2,138,Breast,3,val
2,1196,Bile-duct,1,train
2,1221,Testis,16,val
2,1511,Breast,3,train
2,1294,Bile-duct,1,train
3,222,Breast,3,train
2,205,Breast,3,train
1,2441,Skin,14,train
3,2225,Liver,9,train
1,161,Breast,3,train
3,1274,Bile-duct,1,test
2,1916,HeadNeck,7,train
2,1359,Adrenal_gland,0,train
3,2152,Kidney,8,train
1,2048,Colon,5,train
1,1067,Thyroid,17,train
1,2603,Colon,5,train
3,1653,Breast,3,train
1,1319,Cervix,4,train
1,2193,Liver,9,train
3,240,Breast,3,train
2,147,Breast,3,train
2,2009,HeadNeck,7,train
3,288,Breast,3,train
2,181,Breast,3,train
3,2267,Ovarian,11,test
3,124,Breast,3,train
1,758,Colon,5,train
3,140,Breast,3,train
2,1646,Colon,5,train
3,980,Uterus,18,train
1,2500,Stomach,15,val
1,770,Colon,5,val
3,1347,Bile-duct,1,train
3,1367,Colon,5,train
3,769,Colon,5,train
3,635,Breast,3,train
3,533,Breast,3,train
3,1447,Adrenal_gland,0,train
2,1717,Colon,5,train
1,2114,HeadNeck,7,test
2,280,Breast,3,train
2,1982,HeadNeck,7,train
2,1475,Bladder,2,train
2,937,Thyroid,17,train
3,2029,HeadNeck,7,test
1,232,Breast,3,train
1,1561,Adrenal_gland,0,test
3,1379,Colon,5,train
3,1373,Colon,5,train
2,1656,Colon,5,train
2,99,Breast,3,train
1,1020,Pancreatic,12,train
1,817,Colon,5,test
1,1601,Bile-duct,1,train
3,316,Breast,3,train
3,2098,HeadNeck,7,val
2,2162,Pancreatic,12,test
1,928,Breast,3,train
3,1115,Adrenal_gland,0,train
3,2120,HeadNeck,7,train
3,1700,Cervix,4,train
1,1208,Adrenal_gland,0,test
3,2402,Skin,14,train
2,773,Lung,10,test
1,2009,Colon,5,train
1,394,Breast,3,train
2,2329,Stomach,15,train
2,1896,HeadNeck,7,train
3,2546,Uterus,18,test
1,2081,Esophagus,6,train
3,2590,Uterus,18,test
2,54,Breast,3,train
1,2133,HeadNeck,7,val
3,2338,Prostate,13,train
1,236,Breast,3,train
2,624,Breast,3,train
2,293,Breast,3,train
3,2336,Prostate,13,test
2,1567,Cervix,4,train
3,1055,Esophagus,6,train
3,1106,Adrenal_gland,0,train
3,2075,HeadNeck,7,train
2,1062,Adrenal_gland,0,train
1,392,Breast,3,train
2,1249,Testis,16,train
3,2249,Liver,9,test
1,435,Breast,3,train
2,1957,HeadNeck,7,train
1,560,Breast,3,train
3,290,Breast,3,train
1,627,Breast,3,train
1,1710,Breast,3,train
1,1670,Bladder,2,test
3,772,Colon,5,val
3,615,Breast,3,train
2,1490,Bladder,2,train
3,1470,Bile-duct,1,train
3,360,Breast,3,train
2,2296,Skin,14,train
3,848,Prostate,13,test
2,2451,Colon,5,train
2,62,Breast,3,train
1,708,Breast,3,train
1,1585,Bile-duct,1,train
3,415,Breast,3,train
3,1005,Uterus,18,train
2,586,Breast,3,train
1,2267,Lung,10,test
1,478,Breast,3,train
3,201,Breast,3,train
2,8,Breast,3,train
1,1919,Colon,5,train
3,2147,Kidney,8,train
3,2647,Colon,5,train
1,1736,Breast,3,train
1,2326,Pancreatic,12,test
3,34,Breast,3,train
2,1512,Breast,3,train
1,263,Breast,3,train
3,1432,Adrenal_gland,0,train
3,1430,Adrenal_gland,0,train
2,407,Breast,3,train
3,2649,Colon,5,train
2,2169,Pancreatic,12,val
1,2229,Liver,9,train
1,1781,Cervix,4,val
3,522,Breast,3,train
3,212,Breast,3,train
3,2251,Liver,9,train
3,206,Breast,3,train
2,1155,Adrenal_gland,0,train
2,1081,Esophagus,6,train
1,2613,Colon,5,test
2,2245,Skin,14,train
1,136,Breast,3,train
1,202,Breast,3,train
3,736,Colon,5,train
1,959,Kidney,8,test
1,41,Breast,3,train
1,1630,Bile-duct,1,test
2,1742,Colon,5,train
3,2116,HeadNeck,7,train
2,214,Breast,3,train
3,908,Esophagus,6,train
2,123,Breast,3,train
1,326,Breast,3,train
3,783,Colon,5,train
2,905,Lung,10,val
1,1735,Breast,3,train
1,1332,Cervix,4,train
3,1607,Bladder,2,test
3,1004,Uterus,18,train
1,2490,Stomach,15,val
3,1192,Adrenal_gland,0,train
2,556,Breast,3,train
2,2155,Pancreatic,12,train
2,822,Breast,3,train
1,1535,Adrenal_gland,0,test
3,1940,Colon,5,train
2,225,Breast,3,train
1,1937,Colon,5,train
2,685,Colon,5,test
1,2298,Ovarian,11,test
1,2599,Colon,5,train
2,203,Breast,3,train
1,1154,Cervix,4,train
1,218,Breast,3,train
2,617,Breast,3,train
3,542,Breast,3,test
2,596,Breast,3,train
1,1436,Testis,16,train
3,2318,Pancreatic,12,train
1,1547,Adrenal_gland,0,train
1,837,Colon,5,train
1,1160,Cervix,4,train
1,88,Breast,3,train
1,2075,Esophagus,6,train
3,920,Esophagus,6,train
1,942,Prostate,13,train
1,1148,Cervix,4,val
1,2248,Liver,9,train
3,2240,Liver,9,train
2,2178,Pancreatic,12,train
1,2382,Prostate,13,test
1,1250,Esophagus,6,train
2,289,Breast,3,train
1,128,Breast,3,train
2,1171,Cervix,4,train
1,1199,Adrenal_gland,0,train
1,2095,Esophagus,6,train
1,897,Breast,3,train
3,1531,Bile-duct,1,train
1,1776,Cervix,4,test
2,2246,Skin,14,test
3,48,Breast,3,train
1,679,Breast,3,train
1,710,Breast,3,train
2,2389,Thyroid,17,train
1,2117,HeadNeck,7,train
2,1307,Colon,5,train
2,1473,Bladder,2,train
3,2411,Skin,14,train
2,524,Breast,3,train
1,432,Breast,3,train
1,1996,Colon,5,train
1,315,Breast,3,train
2,1853,HeadNeck,7,val
3,532,Breast,3,train
3,2081,HeadNeck,7,train
1,678,Breast,3,train
1,2323,Pancreatic,12,train
1,107,Breast,3,val
3,2293,Ovarian,11,train
1,163,Breast,3,train
2,229,Breast,3,val
2,143,Breast,3,train
3,944,Lung,10,val
2,1740,Colon,5,train
2,1319,Colon,5,train
2,949,Thyroid,17,train
2,2315,Skin,14,train
1,614,Breast,3,train
2,2244,Prostate,13,val
2,2288,Skin,14,train
2,1128,Pancreatic,12,test
3,1747,Colon,5,train
1,781,Colon,5,train
3,1660,Breast,3,train
1,406,Breast,3,train
2,2029,Kidney,8,val
2,1432,Bile-duct,1,train
1,113,Breast,3,train
2,1207,Bile-duct,1,train
3,2303,Ovarian,11,test
2,1876,HeadNeck,7,train
2,47,Breast,3,train
1,1468,Bile-duct,1,train
1,2099,HeadNeck,7,test
2,465,Breast,3,train
1,65,Breast,3,train
2,276,Breast,3,train
2,1056,Adrenal_gland,0,train
2,249,Breast,3,val
2,1725,Colon,5,train
2,1618,Colon,5,train
2,612,Breast,3,train
2,1034,Adrenal_gland,0,train
3,1178,Esophagus,6,train
2,1028,Cervix,4,train
1,1985,Colon,5,train
1,1808,Cervix,4,test
2,781,Breast,3,train
2,224,Breast,3,train
1,2644,Colon,5,train
2,531,Breast,3,train
2,1726,Colon,5,train
3,2381,Skin,14,test
3,1922,Colon,5,train
1,2211,Liver,9,train
1,1671,Bladder,2,test
2,1102,Esophagus,6,train
2,2022,Kidney,8,train
3,1297,Testis,16,test
2,856,Stomach,15,test
2,269,Breast,3,train
3,1256,Bile-duct,1,train
2,2064,Liver,9,test
3,972,Uterus,18,train
3,2092,HeadNeck,7,train
1,1033,Lung,10,train
2,2174,Pancreatic,12,train
1,52,Breast,3,train
2,1238,Testis,16,train
3,1175,Esophagus,6,train
1,169,Breast,3,train
2,485,Breast,3,train
2,2098,Liver,9,train
1,1626,Bile-duct,1,val
1,1108,Thyroid,17,train
1,2579,Uterus,18,val
1,1438,Testis,16,test
1,1049,Lung,10,train
3,1534,Bile-duct,1,train
1,341,Breast,3,train
1,129,Breast,3,train
3,998,Uterus,18,train
3,2451,Stomach,15,train
3,1972,Esophagus,6,train
3,1125,Adrenal_gland,0,train
2,512,Breast,3,train
1,282,Breast,3,train
1,2260,Lung,10,val
2,862,Ovarian,11,train
3,2010,HeadNeck,7,train
3,1763,Colon,5,train
3,1080,Cervix,4,val
3,1798,Colon,5,train
1,2238,Liver,9,val
1,1653,Bile-duct,1,val
1,1125,Esophagus,6,val
2,2514,Colon,5,train
3,1009,Thyroid,17,test
1,303,Breast,3,train
2,1036,Adrenal_gland,0,train
3,2340,Prostate,13,test
2,1955,HeadNeck,7,train
3,2310,Ovarian,11,test
3,2002,HeadNeck,7,train
3,1393,Colon,5,train
2,1447,Bile-duct,1,train
1,2378,Prostate,13,train
2,1831,Esophagus,6,train
3,2110,HeadNeck,7,train
